Xgeometry,Ygeometry,Zgeometry,Navn,Reduceret,Bassinvolu,Udlednings,Bygværkst,Godkendels,Ejer,Idriftsat,Nedlagt,Vandmængd,Antal over,COD (kg),BI-5 (kg),Total-N (k,Total-P (k,HubName,HubDist
720048.248200000030920,6189498.716599999926984,nan,Afledning til Lyngby-Taarnbæks ledningsnet,0.732106699849033,"0",Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_8070.0,0.0754489541705836
719246.999799999990501,6187692.003700000233948,nan,Ly R6,9.000000000000000,"230",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"2348",,"423","70","28",4.696897200000000,Novana_Model_MOELLEAA_DK1_5450.0,0.0403758795673562
723089.999800000106916,6190139.003700000233948,nan,Rå R2,1.390000000000000,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_11690.0,0.0547761183003762
719222.999799999990501,6187787.003700000233948,nan,Ly R4,14.240000000000000,"255",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"9734",,"1752","292","117",19.468060220000002,Novana_Model_MOELLEAA_DK1_5450.0,0.131984552652421
719485.999800000106916,6186962.003700001165271,nan,Ly R10,18.140000000000001,"1150",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"4745",,"854","142","57",9.489580000000000,Novana_Model_MOELLEAA_DK1_4657.0,0.048889091852956
721532.999799999990501,6189676.003700000233948,nan,Lu R20F,42.000000000000000,"300",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"24202",,"4356","726","290",48.404136606000002,Novana_Model_MOELLEAA_DK1_9685.0,0.134917082646574
719175.999799999990501,6187597.003699999302626,nan,Ly R3R,3.010000000000000,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"13529",,"2435","406","162",27.057371595999999,Novana_Model_MOELLEAA_DK1_5316.0,0.0664449569967671
718976.999799999990501,6186827.003700000233948,nan,Ly R39,0.910000000000000,"20",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_3525.5,0.286606893472013
719175.999799999990501,6187597.003800000064075,nan,Ly R3F,,"0",Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),2021/01/01 00:00:00.000,Aktivt,"126",,"23","4","2",0.252630404000000,Novana_Model_MOELLEAA_DK1_5316.0,0.0664450562428601
721214.999799999990501,6189541.003700000233948,nan,Lu R7F,14.400000000000000,"87",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"3584",,"645","108","43",7.168788620000000,Novana_Model_MOELLEAA_DK1_9374.0,0.193031354280423
