ogc_fid,objectid,vandfoering,beregningspunktlokalid,registreringfra,registreringtil,aar
,,,,,,
"1491","1695",0.0139294334980723,Novana_Model_MOELLEAA_DK1_-11928.0,2020/11/13 13:09:44+00,,"1990"
"1492","1696",0.0207165186484791,Novana_Model_MOELLEAA_DK1_-11474.666666666666,2020/11/13 13:09:44+00,,"1990"
"1493","1697",0.0290790845040385,Novana_Model_MOELLEAA_DK1_-11021.333333333334,2020/11/13 13:09:44+00,,"1990"
"1494","1698",0.0350645794035637,Novana_Model_MOELLEAA_DK1_-10568.0,2020/11/13 13:09:44+00,,"1990"
"1495","1699",0.040156714097686,Novana_Model_MOELLEAA_DK1_-10214.0,2020/11/13 13:09:44+00,,"1990"
"1496","1700",0.0447316119728023,Novana_Model_MOELLEAA_DK1_-9860.0,2020/11/13 13:09:44+00,,"1990"
"1497","1701",0.0470501784847615,Novana_Model_MOELLEAA_DK1_-9506.0,2020/11/13 13:09:44+00,,"1990"
"1498","1702",0.052009477583717,Novana_Model_MOELLEAA_DK1_-9218.5,2020/11/13 13:09:44+00,,"1990"
"1499","1703",0.0547754008425017,Novana_Model_MOELLEAA_DK1_-8931.0,2020/11/13 13:09:44+00,,"1990"
"1500","1704",0.081765049042767,Novana_Model_MOELLEAA_DK1_-8931.0_Downstream,2020/11/13 13:09:44+00,,"1990"
"1501","1705",0.0872550778601268,Novana_Model_MOELLEAA_DK1_-8536.25,2020/11/13 13:09:44+00,,"1990"
"1502","1706",0.0912941186089222,Novana_Model_MOELLEAA_DK1_-8141.5,2020/11/13 13:09:44+00,,"1990"
"1503","1707",0.0938710241897465,Novana_Model_MOELLEAA_DK1_-7746.75,2020/11/13 13:09:44+00,,"1990"
"1504","1708",0.0957123969413646,Novana_Model_MOELLEAA_DK1_-7352.0,2020/11/13 13:09:44+00,,"1990"
"1505","1709",0.0962988331301572,Novana_Model_MOELLEAA_DK1_-7168.0,2020/11/13 13:09:44+00,,"1990"
"1506","1710",0.096766669088847,Novana_Model_MOELLEAA_DK1_-7167.0,2020/11/13 13:09:44+00,,"1990"
"1507","1711",0.096766669088847,Novana_Model_MOELLEAA_DK1_-7087.0,2020/11/13 13:09:44+00,,"1990"
"1508","1712",0.0976965034252977,Novana_Model_MOELLEAA_DK1_-7007.0,2020/11/13 13:09:44+00,,"1990"
"1509","1713",0.0976965034252977,Novana_Model_MOELLEAA_DK1_-6912.0,2020/11/13 13:09:44+00,,"1990"
"1510","1714",0.0989107491831257,Novana_Model_MOELLEAA_DK1_-6817.0,2020/11/13 13:09:44+00,,"1990"
"1511","1715",0.0989107491831257,Novana_Model_MOELLEAA_DK1_-6692.0,2020/11/13 13:09:44+00,,"1990"
"1512","1716",0.104050519674608,Novana_Model_MOELLEAA_DK1_-6567.0,2020/11/13 13:09:44+00,,"1990"
"1513","1717",0.104050519674608,Novana_Model_MOELLEAA_DK1_-6437.0,2020/11/13 13:09:44+00,,"1990"
"1514","1718",0.104011776104365,Novana_Model_MOELLEAA_DK1_-6307.0,2020/11/13 13:09:44+00,,"1990"
"1515","1719",0.104011776104365,Novana_Model_MOELLEAA_DK1_-6167.0,2020/11/13 13:09:44+00,,"1990"
"1516","1720",0.106229693075157,Novana_Model_MOELLEAA_DK1_-6027.0,2020/11/13 13:09:44+00,,"1990"
"1517","1721",0.106229693075157,Novana_Model_MOELLEAA_DK1_-5874.5,2020/11/13 13:09:44+00,,"1990"
"1518","1722",0.109061121797725,Novana_Model_MOELLEAA_DK1_-5722.0,2020/11/13 13:09:44+00,,"1990"
"1519","1723",0.109061121797725,Novana_Model_MOELLEAA_DK1_-5567.0,2020/11/13 13:09:44+00,,"1990"
"1520","1724",0.111743758955639,Novana_Model_MOELLEAA_DK1_-5412.0,2020/11/13 13:09:44+00,,"1990"
"1521","1725",0.111743758955639,Novana_Model_MOELLEAA_DK1_-5302.0,2020/11/13 13:09:44+00,,"1990"
"1522","1726",0.114823698609659,Novana_Model_MOELLEAA_DK1_-5192.0,2020/11/13 13:09:44+00,,"1990"
